Month,Global,European
197901,-0.1718,-2.5024
197902,-0.4834,-1.4039
197903,-0.2809,0.0308
197904,-0.3251,-1.8235
197905,-0.2508,0.2225
197906,-0.1889,0.6231
197907,-0.2948,-1.8522
197908,-0.1809,-0.8551
197909,-0.1242,-0.2317
197910,-0.0607,-1.3555
197911,-0.0879,-0.0749
197912,0.1201,1.0034
198001,-0.1068,-2.8044
198002,-0.1024,-0.7289
198003,-0.1249,-2.4392
198004,-0.0541,-1.1665
198005,0.0742,-2.2975
198006,-0.0869,-0.2309
198007,-0.0188,-1.3912
198008,-0.0749,-0.9851
198009,-0.1342,-0.1547
198010,-0.1837,-0.6985
198011,-0.0969,-1.3389
198012,-0.2049,-0.4746
198101,0.0872,-0.6494
198102,-0.0044,-0.5799
198103,0.0401,-0.2332
198104,-0.0331,-1.4055
198105,-0.1158,-0.4105
198106,-0.0909,0.0281
198107,-0.1208,-0.7122
198108,-0.0349,-0.8801
198109,-0.1382,0.1393
198110,-0.2117,0.5075
198111,-0.2329,-0.4269
198112,-0.0369,-0.9046
198201,-0.3678,-1.7144
198202,-0.2994,-0.7969
198203,-0.4889,-0.1872
198204,-0.4311,-1.0245
198205,-0.2758,-0.5325
198206,-0.2859,-1.0539
198207,-0.2118,-0.5792
198208,-0.3469,-0.6211
198209,-0.3042,0.7543
198210,-0.3327,-0.3865
198211,-0.3199,0.7921
198212,-0.0599,1.5374
198301,-0.0168,1.6956
198302,-0.0594,-1.2609
198303,-0.0729,0.1258
198304,-0.1871,0.7055
198305,-0.0168,0.2095
198306,-0.1369,-0.6829
198307,-0.1878,0.2158
198308,-0.0969,-0.8321
198309,-0.0332,0.5013
198310,-0.2507,-0.2545
198311,-0.0879,-0.8119
198312,-0.2169,-0.0516
198401,-0.2198,0.6016
198402,-0.3614,-0.4179
198403,-0.1969,-1.6282
198404,-0.3141,-0.1815
198405,-0.0878,-0.1005
198406,-0.3629,-1.2099
198407,-0.3858,-1.4702
198408,-0.2619,-1.3421
198409,-0.2912,-0.2817
198410,-0.2587,0.5675
198411,-0.3809,0.0641
198412,-0.4759,-0.5006
198501,-0.2398,-4.6494
198502,-0.5014,-5.1989
198503,-0.3159,-1.7272
198504,-0.3481,-0.7065
